,product,words,words_tagging,syllables,syllables_tagging
10,꼴뚜기젓갈,['꼴뚜기젓갈'],['PRD_B'],"['꼴', '뚜', '기', '젓', '갈']","['PRD_B', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I']"
11,과일맛 캔디 사탕,"['과일맛', ' ', '캔디', ' ', '사탕']","['PRD_B', 'PRD_I', 'PRD_I', '-', 'PRDG_B']","['과', '일', '맛', ' ', '캔', '디', ' ', '사', '탕']","['PRD_B', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', '-', 'PRDG_B', 'PRDG_I']"
12,의성마늘비엔나,['의성마늘비엔나'],['PRD_B'],"['의', '성', '마', '늘', '비', '엔', '나']","['PRD_B', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I']"
13,크라상쁘띠,['크라상쁘띠'],['PRD_B'],"['크', '라', '상', '쁘', '띠']","['PRD_B', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I']"
14,이마트 진심을 담은 쫄깃한 슈레드 모짜렐라 치즈,"['이마트', ' ', '진심을', ' ', '담은', ' ', '쫄깃한', ' ', '슈레드', ' ', '모짜렐라', ' ', '치즈']","['PRD_B', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', '-', 'PRDG_B']","['이', '마', '트', ' ', '진', '심', '을', ' ', '담', '은', ' ', '쫄', '깃', '한', ' ', '슈', '레', '드', ' ', '모', '짜', '렐', '라', ' ', '치', '즈']","['PRD_B', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', '-', 'PRDG_B', 'PRDG_I']"
15,동원 리얼통살새우까스,"['동원', ' ', '리얼통살새우까스']","['PRD_B', 'PRD_I', 'PRD_I']","['동', '원', ' ', '리', '얼', '통', '살', '새', '우', '까', '스']","['PRD_B', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I']"
16,돌 워터젤리복숭아,"['돌', ' ', '워터젤리복숭아']","['PRD_B', 'PRD_I', 'PRD_I']","['돌', ' ', '워', '터', '젤', '리', '복', '숭', '아']","['PRD_B', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I']"
17,꼬깔콘 매콤달콤한맛,"['꼬깔콘', ' ', '매콤달콤한맛']","['PRD_B', 'PRD_I', 'PRD_I']","['꼬', '깔', '콘', ' ', '매', '콤', '달', '콤', '한', '맛']","['PRD_B', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I']"
18,돌핀 폴라레티헬로썸머,"['돌핀', ' ', '폴라레티헬로썸머']","['PRD_B', 'PRD_I', 'PRD_I']","['돌', '핀', ' ', '폴', '라', '레', '티', '헬', '로', '썸', '머']","['PRD_B', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I']"
19,프랑스 머핀 초콜릿 헤이즐넛필링 냉동빵,"['프랑스', ' ', '머핀', ' ', '초콜릿', ' ', '헤이즐넛필링', ' ', '냉동빵']","['PRD_B', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I']","['프', '랑', '스', ' ', '머', '핀', ' ', '초', '콜', '릿', ' ', '헤', '이', '즐', '넛', '필', '링', ' ', '냉', '동', '빵']","['PRD_B', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I']"
20,건고사리나물볶음,['건고사리나물볶음'],['PRD_B'],"['건', '고', '사', '리', '나', '물', '볶', '음']","['PRD_B', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I']"
21,풍림 반숙계란장,"['풍림', ' ', '반숙계란장']","['PRD_B', 'PRD_I', 'PRD_I']","['풍', '림', ' ', '반', '숙', '계', '란', '장']","['PRD_B', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I']"
22,포스 마이쮸딸기,"['포스', ' ', '마이쮸딸기']","['PRD_B', 'PRD_I', 'PRD_I']","['포', '스', ' ', '마', '이', '쮸', '딸', '기']","['PRD_B', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I']"
23,백김치,['백김치'],['PRD_B'],"['백', '김', '치']","['PRD_B', 'PRD_I', 'PRD_I']"
24,씨제이 비비고 김치볶음,"['씨제이', ' ', '비비고', ' ', '김치볶음']","['PRD_B', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I']","['씨', '제', '이', ' ', '비', '비', '고', ' ', '김', '치', '볶', '음']","['PRD_B', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I']"
25,사과블루베리 동결건조 스낵,"['사과블루베리', ' ', '동결건조', ' ', '스낵']","['PRD_B', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I']","['사', '과', '블', '루', '베', '리', ' ', '동', '결', '건', '조', ' ', '스', '낵']","['PRD_B', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I']"
26,저지방 스낵,"['저지방', ' ', '스낵']","['PRD_B', 'PRD_I', 'PRD_I']","['저', '지', '방', ' ', '스', '낵']","['PRD_B', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I']"
27,김해축협 한돈양념불고기냉동,"['김해축협', ' ', '한돈양념불고기냉동']","['PRD_B', 'PRD_I', 'PRD_I']","['김', '해', '축', '협', ' ', '한', '돈', '양', '념', '불', '고', '기', '냉', '동']","['PRD_B', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I']"
28,숙 장아찌 돼지감자,"['숙', ' ', '장아찌', ' ', '돼지감자']","['PRD_B', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I']","['숙', ' ', '장', '아', '찌', ' ', '돼', '지', '감', '자']","['PRD_B', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I']"
29,하루노유키 케익 플레인,"['하루노유키', ' ', '케익', ' ', '플레인']","['PRD_B', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I']","['하', '루', '노', '유', '키', ' ', '케', '익', ' ', '플', '레', '인']","['PRD_B', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I']"
30,삼립 냉동 블루베리 요거트 왕슈,"['삼립', ' ', '냉동', ' ', '블루베리', ' ', '요거트', ' ', '왕슈']","['PRD_B', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I']","['삼', '립', ' ', '냉', '동', ' ', '블', '루', '베', '리', ' ', '요', '거', '트', ' ', '왕', '슈']","['PRD_B', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I']"
31,츄파춥스 미니언즈,"['츄파춥스', ' ', '미니언즈']","['PRD_B', 'PRD_I', 'PRD_I']","['츄', '파', '춥', '스', ' ', '미', '니', '언', '즈']","['PRD_B', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I']"
32,라카아메 사탕,"['라카아메', ' ', '사탕']","['PRD_B', '-', 'PRDG_B']","['라', '카', '아', '메', ' ', '사', '탕']","['PRD_B', 'PRD_I', 'PRD_I', 'PRD_I', '-', 'PRDG_B', 'PRDG_I']"
33,시나몬슈가 페스트리스틱,"['시나몬슈가', ' ', '페스트리스틱']","['PRD_B', 'PRD_I', 'PRD_I']","['시', '나', '몬', '슈', '가', ' ', '페', '스', '트', '리', '스', '틱']","['PRD_B', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I']"
34,키즈 포션 치즈,"['키즈', ' ', '포션', ' ', '치즈']","['PRD_B', 'PRD_I', 'PRD_I', '-', 'PRDG_B']","['키', '즈', ' ', '포', '션', ' ', '치', '즈']","['PRD_B', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', '-', 'PRDG_B', 'PRDG_I']"
35,소프트제리롤 월넛파운드,"['소프트제리롤', ' ', '월넛파운드']","['PRD_B', 'PRD_I', 'PRD_I']","['소', '프', '트', '제', '리', '롤', ' ', '월', '넛', '파', '운', '드']","['PRD_B', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I']"
36,살라미,['살라미'],['PRD_B'],"['살', '라', '미']","['PRD_B', 'PRD_I', 'PRD_I']"
37,녹차생크림단팥빵,['녹차생크림단팥빵'],['PRD_B'],"['녹', '차', '생', '크', '림', '단', '팥', '빵']","['PRD_B', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I']"
38,아이스노이에 말차 아이스크림,"['아이스노이에', ' ', '말차', ' ', '아이스크림']","['PRD_B', 'PRD_I', 'PRD_I', '-', 'PRDG_B']","['아', '이', '스', '노', '이', '에', ' ', '말', '차', ' ', '아', '이', '스', '크', '림']","['PRD_B', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', '-', 'PRDG_B', 'PRDG_I', 'PRDG_I', 'PRDG_I', 'PRDG_I']"
39,정통 커리 징가 마살라,"['정통', ' ', '커리', ' ', '징가', ' ', '마살라']","['PRD_B', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I']","['정', '통', ' ', '커', '리', ' ', '징', '가', ' ', '마', '살', '라']","['PRD_B', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I']"
40,피코크 제대로 맛을 내는 순두부찌개 양념,"['피코크', ' ', '제대로', ' ', '맛을', ' ', '내는', ' ', '순두부찌개', ' ', '양념']","['PRD_B', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I']","['피', '코', '크', ' ', '제', '대', '로', ' ', '맛', '을', ' ', '내', '는', ' ', '순', '두', '부', '찌', '개', ' ', '양', '념']","['PRD_B', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I']"
41,속초 두레찬 낙지젓갈,"['속초', ' ', '두레찬', ' ', '낙지젓갈']","['PRD_B', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I']","['속', '초', ' ', '두', '레', '찬', ' ', '낙', '지', '젓', '갈']","['PRD_B', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I']"
42,노브랜드 팝콘,"['노브랜드', ' ', '팝콘']","['PRD_B', 'PRD_I', 'PRD_I']","['노', '브', '랜', '드', ' ', '팝', '콘']","['PRD_B', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I']"
43,고향만두,['고향만두'],['PRD_B'],"['고', '향', '만', '두']","['PRD_B', 'PRD_I', 'PRD_I', 'PRD_I']"
44,왕 만두,"['왕', ' ', '만두']","['PRD_B', 'PRD_I', 'PRD_I']","['왕', ' ', '만', '두']","['PRD_B', 'PRD_I', 'PRD_I', 'PRD_I']"
45,비타민디 우유,"['비타민디', ' ', '우유']","['PRD_B', '-', 'PRDG_B']","['비', '타', '민', '디', ' ', '우', '유']","['PRD_B', 'PRD_I', 'PRD_I', 'PRD_I', '-', 'PRDG_B', 'PRDG_I']"
46,오뚜기 맛있는 오리지널 핫도그,"['오뚜기', ' ', '맛있는', ' ', '오리지널', ' ', '핫도그']","['PRD_B', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I']","['오', '뚜', '기', ' ', '맛', '있', '는', ' ', '오', '리', '지', '널', ' ', '핫', '도', '그']","['PRD_B', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I']"
47,동원냉장냉동 본엠 통그릴부어스트,"['동원냉장냉동', ' ', '본엠', ' ', '통그릴부어스트']","['PRD_B', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I']","['동', '원', '냉', '장', '냉', '동', ' ', '본', '엠', ' ', '통', '그', '릴', '부', '어', '스', '트']","['PRD_B', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I']"
48,호두파이 대,"['호두파이', ' ', '대']","['PRD_B', 'PRD_I', 'PRD_I']","['호', '두', '파', '이', ' ', '대']","['PRD_B', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I']"
49,해물완자,['해물완자'],['PRD_B'],"['해', '물', '완', '자']","['PRD_B', 'PRD_I', 'PRD_I', 'PRD_I']"
50,삼립 뉴욕치즈무스,"['삼립', ' ', '뉴욕치즈무스']","['PRD_B', 'PRD_I', 'PRD_I']","['삼', '립', ' ', '뉴', '욕', '치', '즈', '무', '스']","['PRD_B', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I']"
51,씨제이 맥스칩 오 과자,"['씨제이', ' ', '맥스칩', ' ', '오', ' ', '과자']","['PRD_B', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', '-', 'PRDG_B']","['씨', '제', '이', ' ', '맥', '스', '칩', ' ', '오', ' ', '과', '자']","['PRD_B', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', '-', 'PRDG_B', 'PRDG_I']"
52,늘참 구이,"['늘참', ' ', '구이']","['PRD_B', 'PRD_I', 'PRD_I']","['늘', '참', ' ', '구', '이']","['PRD_B', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I']"
53,매운 과자,"['매운', ' ', '과자']","['PRD_B', '-', 'PRDG_B']","['매', '운', ' ', '과', '자']","['PRD_B', 'PRD_I', '-', 'PRDG_B', 'PRDG_I']"
54,쁘띠첼 요거젤리 복숭아,"['쁘띠첼', ' ', '요거젤리', ' ', '복숭아']","['PRD_B', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I']","['쁘', '띠', '첼', ' ', '요', '거', '젤', '리', ' ', '복', '숭', '아']","['PRD_B', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I']"
55,서울우유 멸균우유,"['서울우유', ' ', '멸균우유']","['PRD_B', 'PRD_I', 'PRD_I']","['서', '울', '우', '유', ' ', '멸', '균', '우', '유']","['PRD_B', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I']"
56,미니프레즐 솔트,"['미니프레즐', ' ', '솔트']","['PRD_B', 'PRD_I', 'PRD_I']","['미', '니', '프', '레', '즐', ' ', '솔', '트']","['PRD_B', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I']"
57,감자엔소스닷 청양데리야끼,"['감자엔소스닷', ' ', '청양데리야끼']","['PRD_B', 'PRD_I', 'PRD_I']","['감', '자', '엔', '소', '스', '닷', ' ', '청', '양', '데', '리', '야', '끼']","['PRD_B', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I']"
58,피코크 만두연구소 평양왕만두,"['피코크', ' ', '만두연구소', ' ', '평양왕만두']","['PRD_B', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I']","['피', '코', '크', ' ', '만', '두', '연', '구', '소', ' ', '평', '양', '왕', '만', '두']","['PRD_B', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I']"
59,씨제이 비비고 배추김치,"['씨제이', ' ', '비비고', ' ', '배추김치']","['PRD_B', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I']","['씨', '제', '이', ' ', '비', '비', '고', ' ', '배', '추', '김', '치']","['PRD_B', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I']"
60,동광 젓갈 골라담기,"['동광', ' ', '젓갈', ' ', '골라담기']","['PRD_B', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I']","['동', '광', ' ', '젓', '갈', ' ', '골', '라', '담', '기']","['PRD_B', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I']"
61,제주하루미 전통젓갈,"['제주하루미', ' ', '전통젓갈']","['PRD_B', 'PRD_I', 'PRD_I']","['제', '주', '하', '루', '미', ' ', '전', '통', '젓', '갈']","['PRD_B', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I']"
62,내추럴 아몬드 쇼콜라 우유,"['내추럴', ' ', '아몬드', ' ', '쇼콜라', ' ', '우유']","['PRD_B', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', '-', 'PRDG_B']","['내', '추', '럴', ' ', '아', '몬', '드', ' ', '쇼', '콜', '라', ' ', '우', '유']","['PRD_B', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', '-', 'PRDG_B', 'PRDG_I']"
63,삼립 소프트 치즈케익 미니,"['삼립', ' ', '소프트', ' ', '치즈케익', ' ', '미니']","['PRD_B', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I']","['삼', '립', ' ', '소', '프', '트', ' ', '치', '즈', '케', '익', ' ', '미', '니']","['PRD_B', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I']"
64,프란시아 치즈,"['프란시아', ' ', '치즈']","['PRD_B', '-', 'PRDG_B']","['프', '란', '시', '아', ' ', '치', '즈']","['PRD_B', 'PRD_I', 'PRD_I', 'PRD_I', '-', 'PRDG_B', 'PRDG_I']"
65,영덕게살 게간장 세트,"['영덕게살', ' ', '게간장', ' ', '세트']","['PRD_B', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I']","['영', '덕', '게', '살', ' ', '게', '간', '장', ' ', '세', '트']","['PRD_B', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I']"
66,피코크 조선호텔 맛 김치,"['피코크', ' ', '조선호텔', ' ', '맛', ' ', '김치']","['PRD_B', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', '-', 'PRDG_B']","['피', '코', '크', ' ', '조', '선', '호', '텔', ' ', '맛', ' ', '김', '치']","['PRD_B', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', '-', 'PRDG_B', 'PRDG_I']"
67,개성감자만두,['개성감자만두'],['PRD_B'],"['개', '성', '감', '자', '만', '두']","['PRD_B', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I']"
68,수원식갈비닭강정,['수원식갈비닭강정'],['PRD_B'],"['수', '원', '식', '갈', '비', '닭', '강', '정']","['PRD_B', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I']"
69,프랑스 프리미엄 바게트 샌드위치 파베이크,"['프랑스', ' ', '프리미엄', ' ', '바게트', ' ', '샌드위치', ' ', '파베이크']","['PRD_B', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I']","['프', '랑', '스', ' ', '프', '리', '미', '엄', ' ', '바', '게', '트', ' ', '샌', '드', '위', '치', ' ', '파', '베', '이', '크']","['PRD_B', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I']"
70,국내산 수제 양념 돼지갈비,"['국내산', ' ', '수제', ' ', '양념', ' ', '돼지갈비']","['PRD_B', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I']","['국', '내', '산', ' ', '수', '제', ' ', '양', '념', ' ', '돼', '지', '갈', '비']","['PRD_B', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I']"
71,농심 감자깡 과자,"['농심', ' ', '감자깡', ' ', '과자']","['PRD_B', 'PRD_I', 'PRD_I', '-', 'PRDG_B']","['농', '심', ' ', '감', '자', '깡', ' ', '과', '자']","['PRD_B', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', '-', 'PRDG_B', 'PRDG_I']"
72,찰떡,['찰떡'],['PRD_B'],"['찰', '떡']","['PRD_B', 'PRD_I']"
73,열우물 연근 동치미,"['열우물', ' ', '연근', ' ', '동치미']","['PRD_B', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I']","['열', '우', '물', ' ', '연', '근', ' ', '동', '치', '미']","['PRD_B', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I']"
