product,words,words_tagging,syllables,syllables_tagging
네니아우리밀통팥찐빵,['네니아우리밀통팥찐빵'],['PRD_B'],"['네', '니', '아', '우', '리', '밀', '통', '팥', '찐', '빵']","['PRD_B', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I']"
네니아플러스 네니아우리밀통팥찐빵,"['네니아플러스', ' ', '네니아우리밀통팥찐빵']","['PRD_B', 'PRD_I', 'PRD_I']","['네', '니', '아', '플', '러', '스', ' ', '네', '니', '아', '우', '리', '밀', '통', '팥', '찐', '빵']","['PRD_B', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I']"
진주햄 담백하고 고소한 홈소세지,"['진주햄', ' ', '담백하고', ' ', '고소한', ' ', '홈소세지']","['PRD_B', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I']","['진', '주', '햄', ' ', '담', '백', '하', '고', ' ', '고', '소', '한', ' ', '홈', '소', '세', '지']","['PRD_B', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I']"
크림치즈 오리지널,"['크림치즈', ' ', '오리지널']","['PRD_B', 'PRD_I', 'PRD_I']","['크', '림', '치', '즈', ' ', '오', '리', '지', '널']","['PRD_B', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I']"
피넛버터 아이스크림,"['피넛버터', ' ', '아이스크림']","['PRD_B', '-', 'PRDG_B']","['피', '넛', '버', '터', ' ', '아', '이', '스', '크', '림']","['PRD_B', 'PRD_I', 'PRD_I', 'PRD_I', '-', 'PRDG_B', 'PRDG_I', 'PRDG_I', 'PRDG_I', 'PRDG_I']"
엑설런트 오리지널 아이스크림,"['엑설런트', ' ', '오리지널', ' ', '아이스크림']","['PRD_B', 'PRD_I', 'PRD_I', '-', 'PRDG_B']","['엑', '설', '런', '트', ' ', '오', '리', '지', '널', ' ', '아', '이', '스', '크', '림']","['PRD_B', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', '-', 'PRDG_B', 'PRDG_I', 'PRDG_I', 'PRDG_I', 'PRDG_I']"
달콤닭강정,['달콤닭강정'],['PRD_B'],"['달', '콤', '닭', '강', '정']","['PRD_B', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I']"
피코크 달콤닭강정,"['피코크', ' ', '달콤닭강정']","['PRD_B', 'PRD_I', 'PRD_I']","['피', '코', '크', ' ', '달', '콤', '닭', '강', '정']","['PRD_B', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I']"
비비고 왕교자,"['비비고', ' ', '왕교자']","['PRD_B', 'PRD_I', 'PRD_I']","['비', '비', '고', ' ', '왕', '교', '자']","['PRD_B', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I']"
씨제이 비비고 왕교자,"['씨제이', ' ', '비비고', ' ', '왕교자']","['PRD_B', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I']","['씨', '제', '이', ' ', '비', '비', '고', ' ', '왕', '교', '자']","['PRD_B', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I']"
초코에몽,['초코에몽'],['PRD_B'],"['초', '코', '에', '몽']","['PRD_B', 'PRD_I', 'PRD_I', 'PRD_I']"
남양 초코에몽,"['남양', ' ', '초코에몽']","['PRD_B', 'PRD_I', 'PRD_I']","['남', '양', ' ', '초', '코', '에', '몽']","['PRD_B', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I']"
치킨팝 닭강정맛,"['치킨팝', ' ', '닭강정맛']","['PRD_B', 'PRD_I', 'PRD_I']","['치', '킨', '팝', ' ', '닭', '강', '정', '맛']","['PRD_B', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I']"
리콜라 선물 사탕,"['리콜라', ' ', '선물', ' ', '사탕']","['PRD_B', 'PRD_I', 'PRD_I', '-', 'PRDG_B']","['리', '콜', '라', ' ', '선', '물', ' ', '사', '탕']","['PRD_B', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', '-', 'PRDG_B', 'PRDG_I']"
맥스칩 포테이토 과자,"['맥스칩', ' ', '포테이토', ' ', '과자']","['PRD_B', 'PRD_I', 'PRD_I', '-', 'PRDG_B']","['맥', '스', '칩', ' ', '포', '테', '이', '토', ' ', '과', '자']","['PRD_B', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', '-', 'PRDG_B', 'PRDG_I']"
씨제이 맥스칩 포테이토 과자,"['씨제이', ' ', '맥스칩', ' ', '포테이토', ' ', '과자']","['PRD_B', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', '-', 'PRDG_B']","['씨', '제', '이', ' ', '맥', '스', '칩', ' ', '포', '테', '이', '토', ' ', '과', '자']","['PRD_B', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', '-', 'PRDG_B', 'PRDG_I']"
영국식 수제 생소세지,"['영국식', ' ', '수제', ' ', '생소세지']","['PRD_B', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I']","['영', '국', '식', ' ', '수', '제', ' ', '생', '소', '세', '지']","['PRD_B', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I']"
마늘 피클,"['마늘', ' ', '피클']","['PRD_B', 'PRD_I', 'PRD_I']","['마', '늘', ' ', '피', '클']","['PRD_B', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I']"
라이스 치즈,"['라이스', ' ', '치즈']","['PRD_B', '-', 'PRDG_B']","['라', '이', '스', ' ', '치', '즈']","['PRD_B', 'PRD_I', 'PRD_I', '-', 'PRDG_B', 'PRDG_I']"
사탕 42G,"['사탕', ' ', '42G']","['PRDG_B', '-', 'PRD_B']","['사', '탕', ' ', '4', '2', 'G']","['PRDG_B', 'PRDG_I', '-', 'PRD_B', 'PRD_I', 'PRD_I']"
종가집 담은 김치,"['종가집', ' ', '담은', ' ', '김치']","['PRD_B', 'PRD_I', 'PRD_I', '-', 'PRDG_B']","['종', '가', '집', ' ', '담', '은', ' ', '김', '치']","['PRD_B', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', '-', 'PRDG_B', 'PRDG_I']"
한입에 반한 오이소박이 김치,"['한입에', ' ', '반한', ' ', '오이소박이', ' ', '김치']","['PRD_B', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', '-', 'PRDG_B']","['한', '입', '에', ' ', '반', '한', ' ', '오', '이', '소', '박', '이', ' ', '김', '치']","['PRD_B', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', '-', 'PRDG_B', 'PRDG_I']"
이종임 포기김치,"['이종임', ' ', '포기김치']","['PRD_B', 'PRD_I', 'PRD_I']","['이', '종', '임', ' ', '포', '기', '김', '치']","['PRD_B', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I']"
맥양념청국장,['맥양념청국장'],['PRD_B'],"['맥', '양', '념', '청', '국', '장']","['PRD_B', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I']"
국내산 오징어젓갈,"['국내산', ' ', '오징어젓갈']","['PRD_B', 'PRD_I', 'PRD_I']","['국', '내', '산', ' ', '오', '징', '어', '젓', '갈']","['PRD_B', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I']"
사탕 165G,"['사탕', ' ', '165G']","['PRDG_B', '-', 'PRD_B']","['사', '탕', ' ', '1', '6', '5', 'G']","['PRDG_B', 'PRDG_I', '-', 'PRD_B', 'PRD_I', 'PRD_I', 'PRD_I']"
컵 아이스 아이스크림,"['컵', ' ', '아이스', ' ', '아이스크림']","['PRD_B', 'PRD_I', 'PRD_I', '-', 'PRDG_B']","['컵', ' ', '아', '이', '스', ' ', '아', '이', '스', '크', '림']","['PRD_B', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', '-', 'PRDG_B', 'PRDG_I', 'PRDG_I', 'PRDG_I', 'PRDG_I']"
풀무원 컵 아이스 아이스크림,"['풀무원', ' ', '컵', ' ', '아이스', ' ', '아이스크림']","['PRD_B', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', '-', 'PRDG_B']","['풀', '무', '원', ' ', '컵', ' ', '아', '이', '스', ' ', '아', '이', '스', '크', '림']","['PRD_B', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', '-', 'PRDG_B', 'PRDG_I', 'PRDG_I', 'PRDG_I', 'PRDG_I']"
국내산 냉장 간장 돼지불고기,"['국내산', ' ', '냉장', ' ', '간장', ' ', '돼지불고기']","['PRD_B', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I']","['국', '내', '산', ' ', '냉', '장', ' ', '간', '장', ' ', '돼', '지', '불', '고', '기']","['PRD_B', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I']"
부촌푸드 국내산 냉장 간장 돼지불고기,"['부촌푸드', ' ', '국내산', ' ', '냉장', ' ', '간장', ' ', '돼지불고기']","['PRD_B', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I']","['부', '촌', '푸', '드', ' ', '국', '내', '산', ' ', '냉', '장', ' ', '간', '장', ' ', '돼', '지', '불', '고', '기']","['PRD_B', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I']"
빅그릴비엔나,['빅그릴비엔나'],['PRD_B'],"['빅', '그', '릴', '비', '엔', '나']","['PRD_B', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I']"
노브랜드 빅그릴비엔나,"['노브랜드', ' ', '빅그릴비엔나']","['PRD_B', 'PRD_I', 'PRD_I']","['노', '브', '랜', '드', ' ', '빅', '그', '릴', '비', '엔', '나']","['PRD_B', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I']"
백김치,['백김치'],['PRD_B'],"['백', '김', '치']","['PRD_B', 'PRD_I', 'PRD_I']"
비비고 백김치,"['비비고', ' ', '백김치']","['PRD_B', 'PRD_I', 'PRD_I']","['비', '비', '고', ' ', '백', '김', '치']","['PRD_B', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I']"
감자칩,['감자칩'],['PRD_B'],"['감', '자', '칩']","['PRD_B', 'PRD_I', 'PRD_I']"
도리토스 갈비천왕치킨맛,"['도리토스', ' ', '갈비천왕치킨맛']","['PRD_B', 'PRD_I', 'PRD_I']","['도', '리', '토', '스', ' ', '갈', '비', '천', '왕', '치', '킨', '맛']","['PRD_B', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I']"
뉴크리스피쿠키세트,['뉴크리스피쿠키세트'],['PRD_B'],"['뉴', '크', '리', '스', '피', '쿠', '키', '세', '트']","['PRD_B', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I']"
안동낫또,['안동낫또'],['PRD_B'],"['안', '동', '낫', '또']","['PRD_B', 'PRD_I', 'PRD_I', 'PRD_I']"
비엔나,['비엔나'],['PRD_B'],"['비', '엔', '나']","['PRD_B', 'PRD_I', 'PRD_I']"
피코크 비엔나,"['피코크', ' ', '비엔나']","['PRD_B', 'PRD_I', 'PRD_I']","['피', '코', '크', ' ', '비', '엔', '나']","['PRD_B', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I']"
치팸 클래식,"['치팸', ' ', '클래식']","['PRD_B', 'PRD_I', 'PRD_I']","['치', '팸', ' ', '클', '래', '식']","['PRD_B', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I']"
소시지 위드 치즈,"['소시지', ' ', '위드', ' ', '치즈']","['PRD_B', 'PRD_I', 'PRD_I', '-', 'PRDG_B']","['소', '시', '지', ' ', '위', '드', ' ', '치', '즈']","['PRD_B', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', '-', 'PRDG_B', 'PRDG_I']"
팜 크랜베리오랜지 치즈,"['팜', ' ', '크랜베리오랜지', ' ', '치즈']","['PRD_B', 'PRD_I', 'PRD_I', '-', 'PRDG_B']","['팜', ' ', '크', '랜', '베', '리', '오', '랜', '지', ' ', '치', '즈']","['PRD_B', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', '-', 'PRDG_B', 'PRDG_I']"
맥스봉 치즈후랑크,"['맥스봉', ' ', '치즈후랑크']","['PRD_B', 'PRD_I', 'PRD_I']","['맥', '스', '봉', ' ', '치', '즈', '후', '랑', '크']","['PRD_B', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I']"
씨제이 맥스봉 치즈후랑크,"['씨제이', ' ', '맥스봉', ' ', '치즈후랑크']","['PRD_B', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I']","['씨', '제', '이', ' ', '맥', '스', '봉', ' ', '치', '즈', '후', '랑', '크']","['PRD_B', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I']"
치즈 따봉 소시지,"['치즈', ' ', '따봉', ' ', '소시지']","['PRD_B', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I']","['치', '즈', ' ', '따', '봉', ' ', '소', '시', '지']","['PRD_B', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I']"
피코크 치즈 따봉 소시지,"['피코크', ' ', '치즈', ' ', '따봉', ' ', '소시지']","['PRD_B', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I']","['피', '코', '크', ' ', '치', '즈', ' ', '따', '봉', ' ', '소', '시', '지']","['PRD_B', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I']"
생생감자칩 오리지날,"['생생감자칩', ' ', '오리지날']","['PRD_B', 'PRD_I', 'PRD_I']","['생', '생', '감', '자', '칩', ' ', '오', '리', '지', '날']","['PRD_B', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I']"
크립스 시솔트 감자칩 과자,"['크립스', ' ', '시솔트', ' ', '감자칩', ' ', '과자']","['PRD_B', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', '-', 'PRDG_B']","['크', '립', '스', ' ', '시', '솔', '트', ' ', '감', '자', '칩', ' ', '과', '자']","['PRD_B', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', '-', 'PRDG_B', 'PRDG_I']"
순두부찌개,['순두부찌개'],['PRD_B'],"['순', '두', '부', '찌', '개']","['PRD_B', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I']"
다진마늘,['다진마늘'],['PRD_B'],"['다', '진', '마', '늘']","['PRD_B', 'PRD_I', 'PRD_I', 'PRD_I']"
가나 다진마늘,"['가나', ' ', '다진마늘']","['PRD_B', 'PRD_I', 'PRD_I']","['가', '나', ' ', '다', '진', '마', '늘']","['PRD_B', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I']"
맥스칩 러블리스윗펌킨,"['맥스칩', ' ', '러블리스윗펌킨']","['PRD_B', 'PRD_I', 'PRD_I']","['맥', '스', '칩', ' ', '러', '블', '리', '스', '윗', '펌', '킨']","['PRD_B', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I']"
씨제이 맥스칩 러블리스윗펌킨,"['씨제이', ' ', '맥스칩', ' ', '러블리스윗펌킨']","['PRD_B', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I']","['씨', '제', '이', ' ', '맥', '스', '칩', ' ', '러', '블', '리', '스', '윗', '펌', '킨']","['PRD_B', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I']"
사탕 140G,"['사탕', ' ', '140G']","['PRDG_B', '-', 'PRD_B']","['사', '탕', ' ', '1', '4', '0', 'G']","['PRDG_B', 'PRDG_I', '-', 'PRD_B', 'PRD_I', 'PRD_I', 'PRD_I']"
왕교자,['왕교자'],['PRD_B'],"['왕', '교', '자']","['PRD_B', 'PRD_I', 'PRD_I']"
꽈리고추멸치볶음,['꽈리고추멸치볶음'],['PRD_B'],"['꽈', '리', '고', '추', '멸', '치', '볶', '음']","['PRD_B', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I']"
오래오래 맛있는 총각김치,"['오래오래', ' ', '맛있는', ' ', '총각김치']","['PRD_B', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I']","['오', '래', '오', '래', ' ', '맛', '있', '는', ' ', '총', '각', '김', '치']","['PRD_B', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I']"
종가집 오래오래 맛있는 총각김치,"['종가집', ' ', '오래오래', ' ', '맛있는', ' ', '총각김치']","['PRD_B', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I']","['종', '가', '집', ' ', '오', '래', '오', '래', ' ', '맛', '있', '는', ' ', '총', '각', '김', '치']","['PRD_B', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I']"
오렌지 쇼콜라 케익,"['오렌지', ' ', '쇼콜라', ' ', '케익']","['PRD_B', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I']","['오', '렌', '지', ' ', '쇼', '콜', '라', ' ', '케', '익']","['PRD_B', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I']"
노브랜드 오렌지 쇼콜라 케익,"['노브랜드', ' ', '오렌지', ' ', '쇼콜라', ' ', '케익']","['PRD_B', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I']","['노', '브', '랜', '드', ' ', '오', '렌', '지', ' ', '쇼', '콜', '라', ' ', '케', '익']","['PRD_B', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I']"
명란젓갈,['명란젓갈'],['PRD_B'],"['명', '란', '젓', '갈']","['PRD_B', 'PRD_I', 'PRD_I', 'PRD_I']"
사탕 324G,"['사탕', ' ', '324G']","['PRDG_B', '-', 'PRD_B']","['사', '탕', ' ', '3', '2', '4', 'G']","['PRDG_B', 'PRDG_I', '-', 'PRD_B', 'PRD_I', 'PRD_I', 'PRD_I']"
얇은피 고기만두,"['얇은피', ' ', '고기만두']","['PRD_B', 'PRD_I', 'PRD_I']","['얇', '은', '피', ' ', '고', '기', '만', '두']","['PRD_B', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I']"
동원 얇은피 고기만두,"['동원', ' ', '얇은피', ' ', '고기만두']","['PRD_B', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I']","['동', '원', ' ', '얇', '은', '피', ' ', '고', '기', '만', '두']","['PRD_B', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I']"
검은깨 수제강정,"['검은깨', ' ', '수제강정']","['PRD_B', 'PRD_I', 'PRD_I']","['검', '은', '깨', ' ', '수', '제', '강', '정']","['PRD_B', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I']"
양념듬뿍쌈장,['양념듬뿍쌈장'],['PRD_B'],"['양', '념', '듬', '뿍', '쌈', '장']","['PRD_B', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I']"
씨제이다담 양념듬뿍쌈장,"['씨제이다담', ' ', '양념듬뿍쌈장']","['PRD_B', 'PRD_I', 'PRD_I']","['씨', '제', '이', '다', '담', ' ', '양', '념', '듬', '뿍', '쌈', '장']","['PRD_B', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I']"
닭가슴살 교자만두,"['닭가슴살', ' ', '교자만두']","['PRD_B', 'PRD_I', 'PRD_I']","['닭', '가', '슴', '살', ' ', '교', '자', '만', '두']","['PRD_B', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I']"
굽네 닭가슴살 교자만두,"['굽네', ' ', '닭가슴살', ' ', '교자만두']","['PRD_B', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I']","['굽', '네', ' ', '닭', '가', '슴', '살', ' ', '교', '자', '만', '두']","['PRD_B', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I']"
캬라멜맛 사탕,"['캬라멜맛', ' ', '사탕']","['PRD_B', '-', 'PRDG_B']","['캬', '라', '멜', '맛', ' ', '사', '탕']","['PRD_B', 'PRD_I', 'PRD_I', 'PRD_I', '-', 'PRDG_B', 'PRDG_I']"
캬라멜 사탕,"['캬라멜', ' ', '사탕']","['PRD_B', '-', 'PRDG_B']","['캬', '라', '멜', ' ', '사', '탕']","['PRD_B', 'PRD_I', 'PRD_I', '-', 'PRDG_B', 'PRDG_I']"
흑미 함박스테이크,"['흑미', ' ', '함박스테이크']","['PRD_B', 'PRD_I', 'PRD_I']","['흑', '미', ' ', '함', '박', '스', '테', '이', '크']","['PRD_B', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I']"
