item,product,unitmark
김치,도미솔 박미희 포기김치,5KG
아이스크림,풀무원 돌얼음,1KG
냉동식품,올반 명란군만두,315G
정육_햄,올품 국내산 냉동 엄나무 삼계탕,900G
반찬,멍게젓갈,400G
반찬,숙 장아찌 더덕,350G
우유,남양 맛있는우유지티 멸균 딸기우유,180ML
소스류,씨제이 다담매운낙지볶음양념,130G
빵,월넛파운드 잉글리쉬파운드, 
소스류,종가집 국산 다진마늘,230G
우유,서울 초코우유,200ML
빵,진한 초콜릿 파운드,620G
정육_햄,롯데 엔네이처빅그릴비엔나,260G
소스류,씨제이 다담치킨데리야끼양념,140G
반찬,더반찬 싱글간편불고기, 
아이스크림,나뚜루 리치 더블 치즈,474ML
김치,비비고 썰은 배추김치 더 깔끔한 맛,900G
우유,썬업 과일 야채 샐러드 레드,200ML
정육_햄,어메이징 훈제오리,500G
김치,종가집 묵은지,3200G
정육_햄,굽네 더블소스 치킨스테이크 볼케이노,170G
소스류,씨제이 다담 된장찌개,530G
과자,빠새,60G
우유,서울우유 초코꿀딴지,180ML
치즈,매일 상하치즈 맛있는 비타치즈 플레인,96G
빵,서울식품 미니피넛버터쿠키,18G
기타간식,피코크 시리얼바 라이트,208G
정육_햄,닭갈비,600G
빵,프랑스 프리미엄 미니 애플따땅라띠스 냉동생지,40G
빵,파스키에 버터크라상,240G
소스류,씨제이다담 마파두부 양념,150G
사탕,가루쿡 초밥 만들기,285G
김치,김순자 김치명장 한성포기김치,4KG
과자,노브랜드 바삭한 콘 칩 스낵,278G
냉동식품,동원 개성왕만두,600G
아이스크림,설레임 밀크쉐이크 아이스크림, 
소스류,씨제이 다담 냉이된장찌개 양념,140G
빵,삼립 까망베리크림치즈케익, 
과자,아미고 나쵸칩,454G
과자,시네마 버터갈릭팝콘, 
아이스크림,노브랜드 향긋한 바닐라향 아이스,5L
기타간식,무농약고구마로만든반건조호박군고구마,65G
우유,서울우유 초코멸균,200ML
냉동식품,씨제이 비비고 도톰동그랑땡,795G
기타간식,씨제이 쁘띠첼 스윗푸딩생크림커스터드,95G
과자,욤카 전자렌지용 유기농팝콘스위트,270G
치즈,벨큐브 체다 치즈,125G
반찬,피코크 해물 부추 전,390G
소스류,창란젓갈,230G
김치,깐깐 송도순 열무물김치,5KG
소스류,속초 선호 청어알젓갈,500G
아이스크림,하겐다즈 딸기 치즈 케익, 
반찬,아산 맛집 쭈꾸뿅 쭈꾸미 매운맛,650G
우유,매일우유 저지방,1800ML
과자,샤프 인스탄트 이스트,125G
냉동식품,해태 바삭한군만두,1440G
우유,허쉬 초콜릿 드링크 오리지널,190ML
정육_햄,설야멱적 양념 소불고기,600G
빵,서울식품 초코칩트위스트,80G
김치,씨제이 하선정 포기김치,3500G
냉동식품,풀무원 달콤씨앗 호떡만두,600G
빵,진한 흑임자 파운드 더블세트, 
냉동식품,해산물 롤딤섬,280G
김치,종가집 시원깔끔포기김치,3300G
우유,썬업 과일 야채 샐러드 그린,200ML
치즈,동원 우유담아 내몸이 건강한 체다치즈,720G
우유,귀리유,190ML
김치,참다올 전라도광주김치 백김치,5KG
치즈,동원소와나무 고칼슘치즈,180G
사탕,엠앤엠즈 엘프 디스펜서 초콜릿,1503G
우유,매일유업 매일우유 저지방,200ML
사탕,페어리루 마법선풍기 캔디,7G
빵,삼립 버터롤 클래식, 
치즈,덴마크 유기농 짜지않은 아기치즈 단호박,170G
반찬,피코크 오색 꼬지전,380G
치즈,매일 알라 크림치즈 플레인 기획,150G
빵,기린 고소한 옥수수 모닝롤,360G
반찬,하남쭈꾸미 매콤쫄깃 하남갑오징어,350G
사탕,공룡메카드 플레이 캔디,26G
사탕,피코크 로얄 젤리 캔디,260G
치즈,상하 미니치즈 칼슘 체다,144G
우유,슈퍼밀크,900ML
반찬,가리비젓갈,400G
아이스크림,부라보 바닐라,540ML
냉동식품,노브랜드 치즈 치킨 가스,600G
사탕,옛날 왕사탕,4KG
냉동식품,동그랑땡,500G
우유,매일우유 상하목장 슬로우 저지방 밀크,750ML
소스류,피코크 제대로 맛을 내는 소 갈비 찜 양념 소스,200G
냉동식품,프리미엄참동그랑,300G
기타간식,피셔 허니 로스티드 믹스넛,130G
반찬,맵달 부대볶음,200G
우유,서울 흰우유,200ML
김치,피코크 조선호텔 맛 김치,1900G
아이스크림,불라 크리미 클래식 아이스크림,2L
치즈,자연방목 유기농 짜지않은 아기치즈 단호박,170G
사탕,수박맛이 우유속에 말랑말랑 밀크츄,70G
기타간식,노브랜드 망고젤리,500G
기타간식,견과류가 통째로 오전바 브이에스 오후바,30G
김치,피코크 해남 묵은지,1300G
정육_햄,신세계푸드 자이언트 통 닭다리구이,170G
소스류,풀무원 국산콩 생청국장,190G
김치,종가집 동치미,1200G
과자,오리온 대단한 나쵸,200G
정육_햄,전철우 소갈비살구이,300G
아이스크림,오뚜기 컵얼음,180G
우유,매일 소화가 잘되는 저지방 우유,930ML
치즈,만토바 파르미지아노 레지아노,200G
아이스크림,슈퍼콘 초코, 
정육_햄,피코크 훈제 오리 가슴살 슬라이드,200G
우유,남양 맛있는우유지티,200ML
빵,정통뉴욕 플레인 베이글 파베이크,113G
빵,삼립 초코티라미스케익, 
치즈,타르타르 프로방스,100G
사탕,포스 마이쮸사과,132G
김치,올반 포기김치,3500G
기타간식,동원 저스트 과일퓨레 키위사과,130ML
빵,아이스 경주빵,38G
과자,해태 구운양파,161G
사탕,화이트데이 워렌버핏의 프리미엄 수제 초콜릿 캔디, 
우유,매일 우유속의 과즙 기획,300ML
빵,잉글리쉬파운드,650G
냉동식품,치즈갈비교자,315G
치즈,매일 상하치즈 짜먹는 까망베르 치즈,300G
치즈,이마트 진심을 담은 슈레드 모짜렐라 치즈,500G
김치,해뜰식품 자연이 만든 해뜰 알타리김치,5KG
김치,해뜰식품 자연이 만든 해뜰 겉절이 김치,5KG
사탕,멘토스 레인보우,1125G
정육_햄,정통 독일식 닭가슴살 소시지 프랑크 허브맛,120G
우유,서울 저지방 우유,200ML
우유,저지방 우유,2300ML
기타간식,씨알로 크런치너츠바,30G
정육_햄,훈제 닭가슴살 슬라이스,100G
과자,피코크 콘깍지 피자맛,55G
냉동식품,해태 찹쌀 왕만두피,360G
김치,사계절 우리김치 포기김치,1KG
반찬,락교,1KG
정육_햄,피코크 잔슨빌 폴리쉬 소시지,1080G
우유,남양 고소한락토프리우유,1080ML
빵,씨제이프레시웨이 우리밀 까망베르 치즈케익,384G
빵,하니카스테라 더블세트, 
기타간식,체리동결건조스낵, 
김치,춘향골 김치보감 당일 담근 총각 김치,2KG
치즈,매일 알라 크림치즈 라이트,150G
소스류,속초 선호 백명란 분란,1KG
김치,더김치 열무물김치,5KG
소스류,씨제이 다담된장찌개전용,840G
사탕,치링치링시크릿쥬쥬 유기농솜사탕, 
김치,한성김치 김순자 김치명장 동치미,4KG
우유,매일 소화가 잘되는 우유,930ML
사탕,해태 아이밀크,27G
우유,저지방 우유,1000ML
정육_햄,동원 리얼킹 비프,360G
사탕,새콤달콤 딸기 레모네이드,200G
기타간식,농협 아름찬 달콤밤, 
냉동식품,씨제이 비비고한섬만두,384G
김치,마음심은 이종임 석박지,3KG
소스류,동광 웰빙낙지젓,1KG
정육_햄,제육불고기,150G
정육_햄,진주햄 천하장사 더블링 콰트로치즈,400G
우유,남양 맛있는우유지티 슈퍼밀크,900ML
냉동식품,프리미엄고기산적,300G
김치,마음심은 배윤자 포기김치,5KG
과자,구워만든 곡물 그대로,180G
과자,오리온 오감자,50G
우유,연세우유 마카다미아 초코,190ML
정육_햄,늘참 양념 안창살 구이, 
냉동식품,씨제이 비비고 소고기한섬만두,320G
과자,오리온 도도한 나쵸 오리지널 치즈,92G
냉동식품,간편 한끼 닭가슴살 만두, 
사탕,농심 멘토스 초코카라멜,38G
반찬,피코크 모듬 전,470G
정육_햄,오뗄 빅 맛있는베이컨,234G
냉동식품,올반 슈퍼크런치 치킨텐더,440G
김치,테이스티홈 국내산 포기김치,1KG
사탕,위니비니엑스스누피 썸머스위츠미니웜즈구미, 
김치,대복 포기김치,3KG
빵,기린 옥수수식빵,420G
사탕,엑스오 캔디 커피,105G
정육_햄,굽네 갈비천왕 치킨스테이크,170G
소스류,나래식품 갈치젓,300G
사탕,스키틀즈 오리지날,150G
기타간식,피코크 벨지안 밀크 초콜릿,100G
아이스크림,빙그레 투게더 미니어처,300ML
정육_햄,바베큐 폭립,500G
빵,호두타르트호두파이, 
냉동식품,프리미엄 엑스오 물만두,432G
우유,매일 멸균우유 오리지널,1L
반찬,피코크 낙지 볶음 양념 소스,140G
사탕,카슈가이구미,107G
빵,프랑스 초콜릿 파운드 케이크 냉동빵,300G
아이스크림,또로롱 와쿠와크, 
우유,스키피 피넛우유,190ML
냉동식품,동원 개성 왕새우만두,315G
정육_햄,씨제이 더건강한 통목살스테이크,175G
아이스크림,해태 호두마루,540ML
과자,피코크 스키니 팝콘,18G
사탕,멘토스 바틀그레이프스무디요구르트,81G
소스류,안동낫또 우리콩 생청국장 백태흑태,54G
사탕,스코 이클립스 페퍼민트,31G
정육_햄,올반 양념 소불고기,160G
냉동식품,옛날 왕만두,840G
우유,매일우유 멸균우유 초콜릿,200ML
사탕,대만 마쉬멜로우 초코,100G
치즈,페라리니 프로슈토 디 파르마 슬라이스,90G
사탕,슈퍼 바비큐 마쉬멜로우,300G
정육_햄,김해축협 한돈매운양념찜갈비 매운맛냉동,900G
반찬,풍림 깐메추리알,300G
사탕,포스 롯데 롤리팝아이스,165G
기타간식,벨지움 슈가와플,550G
기타간식,무농약고구마로만든반건조첫사랑군고구마,65G
냉동식품,더반찬 통등심돈까스,260G
냉동식품,씨제이 비비고 새우왕교자,400G
기타간식,풀무원 아임리얼 떠먹는망고,130G
정육_햄,오리주물럭매운맛,500G
과자,오징어집,83G
사탕,로투스 록키마운틴 과일향 머쉬멜로우,150G
사탕,리콜라 무설탕 오리지널 허브캔디,40G
사탕,스코 이클립스 스피아민트,31G
과자,중화가 분피 양장피채용,250G
정육_햄,양념소불고기,300G
우유,덴마크 건강한 귀리 우유,220ML
과자,오리온 무뚝뚝 감자칩,124G
빵,프랑스 프리미엄 플레인 치아바타 파베이크,140G
빵,바로먹는 메츄리아,25G
아이스크림,아이스크림 파인트 프로즌요거트 스트로베리, 
아이스크림,아이스크림 스틱바 그린티앤아몬드, 
사탕,헬로키티 서프라이즈 에그 캔디,10G
빵,하니카스테라 소프트제리롤 세트, 
우유,매일우유 상하목장우유,750ML
사탕,츄파춥스 미니튜브,550G
냉동식품,삼양냉동 불닭왕교자3152, 
김치,제주김치 유산균 포기김치,3KG
과자,크라운 콘쵸,162G
반찬,피코크 파 전병,480G
과자,오리온 도도한나쵸 사워크림어니언,155G
정육_햄,티에스 달링 다운 와규 앞다리시즈닝 스테이크,100G
냉동식품,용가리치킨,1KG
빵,씨제이 쁘띠첼 가나슈초코케익,300G
냉동식품,삼양 물만두,1350G
아이스크림,피코크 젤라또 망고 앤 패션푸룻,946ML
아이스크림,부라보콘 체리 아이스크림, 
기타간식,농심 나토리 치타라,27G
정육_햄,소막창구이,500G
김치,종가집 백열무 물김치,1200G
아이스크림,하겐다즈 파인트 키위 망고, 
냉동식품,취영루교자만두,720G
반찬,피코크 호떡,480G
아이스크림,스크류바,75ML
빵,삼립 미니꿀약과,200G
반찬,피코크 할라피뇨 피클 절임,300G
정육_햄,배윤자 찹스테이크,300G
아이스크림,하겐다즈 그린티 아몬드 멀티바,240ML
김치,뽀뽀뜨김치 사골국김치, 
정육_햄,굽네 로드 생닭안심살,1KG
소스류,더반찬 오징어젓, 
아이스크림,라라스윗 바닐라, 
김치,피코크 조선호텔 무 석박지,1KG
과자,노브랜드 감자 칩 사워 크림 어니언,110G
과자,양파링,84G
소스류,제주산 참기름,250ML
사탕,츄파춥스 후르츠, 
정육_햄,김해축협 한우등심양념불고기냉장,200G
빵,소프트제리롤,520G
치즈,진심을 담은 체다치즈,18KG
소스류,생낫또,336G
우유,피코크 우유,1000ML
반찬,숙주나물,300G
소스류,국산콩 생나또,99G
사탕,피코크 프로폴리스 캔디,260G
기타간식,동원 저스트 과일퓨레 망고사과,130ML
소스류,풀무원 정통부대찌개양념,140G
김치,종가집 아삭백열무물김치,2400G
우유,연세무첨가두유,190ML
반찬,권기옥명인 깻잎장아찌,400G
김치,종가집 여름김장 포기김치,5800G
소스류,피코크 제육볶음 양념소스,200G
소스류,피코크 양지 육수,500G
과자,피코크 서울스낵 두부과자 고소한맛,80G
아이스크림,아이스크림 미니컵 프로즌요거트플레인, 
소스류,속초 멍게젓갈,500G
기타간식,떠먹는 티라미수,150G
정육_햄,닭가슴살무가염,100G
냉동식품,피코크 한입치킨까스,400G
빵,네니아플러스 네니아우리밀단호박팥찐빵,400G
우유,서울우유,200ML
과자,크라운 콘칩,70G
냉동식품,씨제이 비비고 차돌깍두기볶음밥,410G
사탕,농심 멘토스 콜라향,375G
빵,하니카스테라 잉글리쉬파운드 세트, 
과자,농심 감자군것질 오리지널,70G
치즈,래핑카우플레인,128G
반찬,용대리황태해장국, 
김치,제주김치 간편하고 맛좋은 제주 백년초 백김치,650G
냉동식품,피코크 명품 새우 부추 떡 만두,700G
사탕,메이오 카라멜 코코아 앤 밀크,720G
빵,소프트 제리롤케익 더블세트, 
정육_햄,씨제이 더건강한베이컨스테이크,400G
아이스크림,피코크 젤라또 커피,946ML
김치,씨제이 비비고 썰은배추김치,3600KG
우유,귀리우유 선물세트,250ML
빵,시원한 특가 화과방 디저트 모음전 빵양갱과자, 
과자,해태 칸츄리콘 콘버터맛,90G
김치,종가집 썰어담은맛김치페트,500G
정육_햄,청정원 콰트로치즈그릴비엔나,300G
사탕,캔디미 꼬마캐리,70G
반찬,권기옥명인 멸치볶음,140G
과자,유기농 쌀로만든 쌀이팡 단호박, 
반찬,옛날 간장찜닭,200G
우유,빙그레 딸기맛 우유,240ML
소스류,동광 가자미식해,1KG
김치,종가집 오래오래 맛있는 포기김치,4KG
사탕,계피향 캔디,4KG
소스류,찬마루 고소한맛 쌈장,450G
기타간식,식물성 고단백 스마트밀 오엠지 카카오 싱글팩, 
김치,동원 양반 자연을담그다 포기김치,2200G
아이스크림,라베스트 티라미수컵, 
정육_햄,김해축협 한우등심 시즈닝스테이크냉장,300G
사탕,스코 스키틀즈오리지날,100G
기타간식,풀무원 아임리얼 떠먹는 라즈베리,130G
빵,정통꿀호떡,513G
김치,씨제이비비고 열무김치,1500G
김치,씨제이 비비고 총각김치,900G
빵,토이쿠키 만들기,300G
정육_햄,미트원 언양식양념소불고기,500G
기타간식,아빠농장 어린이 호박고구마 말랭이, 
우유,빙그레 바나나맛 우유 벨류,1440ML
과자,슈가파우더,500G
치즈,퍼시픽 콜비 잭 치즈,227G
과자,농심 바나나킥,140G
우유,매일 허쉬 쵸콜렛 드링크,940ML
반찬,피코크 연근 피클,300G
과자,오리온 예감 화덕칩 머쉬룸파스타맛,125G
반찬,명란젓갈정란,400G
빵,마스카포네와 크림 치즈가 어우러진 정통 수제 치즈케익 치즈트랩 더블프로마쥬 딸기치즈케익, 
반찬,숙 장아찌 취나물,350G
아이스크림,테이트프리모 젤라또 아이스크림,5L
아이스크림,또로롱 호두마루, 
냉동식품,아임닭 닭가슴살 김치만두, 
아이스크림,하겐다즈 벨지안 초코렛 아이스크림,100ML
반찬,대림선 신선한 무말랭이,150G
김치,뽀뽀뜨김치 과일동치미, 
우유,매일 오리지널,600ML
아이스크림,아이스크림 스틱바 바닐라카라멜아몬드, 
우유,요미요미 유기농 주스 레드비트골든사과,125ML
사탕,폭신폭신 말랑카우 딸기,158G
빵,후앙 치즈 치아바타, 
사탕,키즈매니아 해피밴,15G
정육_햄,사조오양 국내산 닭고기로 만든 버팔로윙,1KG
과자,오리온 도도한 나쵸 치즈맛,186G
정육_햄,굽네 볼케이노 치밥,200G
정육_햄,광릉식 불고기고추장불고기,200G
우유,매일 우유 무지방,900ML
소스류,피코크 매운 돼지 불고기 양념 소스,500G
사탕,피코크 무설탕 레몬 캔디,40G
냉동식품,해태 쫄깃한 물만두4002, 
소스류,풀무원 풀무온 국내산 다진 마늘,250G
치즈,슈레이버 크림치즈 스프레드,28G
치즈,매일유업 상하 피자용 슈레드치즈,500G
과자,오리온 오감자딥 양념바베큐,104G
우유,푸르밀 생과즙 바나나 우유,900ML
빵,큐원 다크 컴파운드 버튼,150G
김치,더반찬 포기김치,1900G
냉동식품,노브랜드 칠리 새우,400G
정육_햄,미트원 양념돼지불고기,500G
사탕,아폴로,180G
김치,씨제이 하선정 포기김치,1KG
아이스크림,옥동자,70ML
냉동식품,레알만두 오리엔탈 새우하가우,300G
냉동식품,백종원 홍콩반점 해물육교자, 
사탕,캐빈디쉬하비 커피캔디,175G
기타간식,돌 곤약젤리 자스민 복숭아,130ML
기타간식,로얄프레즐 초코,100G
과자,헤르스 케틀 쿡 포테이토 칩,170G
정육_햄,사미헌의 왕양념갈비, 
정육_햄,피코크 리얼 오리지날 베이컨,300G
반찬,화덕갈치구이, 
기타간식,피코크 떠먹는 쿠키앤크림 케익,100G
김치,제주김치 백년초 백김치,3KG
김치,참다올 전라도광주김치 백김치,10KG
치즈,덴마크 짜지않은 치즈,252G
아이스크림,슈퍼콘 바닐라, 
아이스크림,또로롱 메로나, 
정육_햄,자이언트 통 닭다리 오븐구이 바베큐맛,170G
과자,농심 알새우칩,68G
반찬,풀무원 튜브형 다진마늘,80G
냉동식품,잡채군만두,1350G
냉동식품,피코크 고추 잡채 호빵,360G
과자,노브랜드 스위트페스츄리 165 G, 
우유,오트밸리 카페에디션,1000ML
냉동식품,한끼식사 굿굽네 닭가슴살 만두,180G
우유,아침의선물,450ML
